"SG_UF";"NM_UE";"CD_CARGO";"NM_CANDIDATO";"SG_PARTIDO";"CD_GENERO";"CD_GRAU_INSTRUCAO";"CD_COR_RACA";"ST_REELEICAO";"DS_SIT_TOT_TURNO";"NUM_VOTOS"
"AC";"ASSIS BRASIL";13;"ANA CLAUDIA DA SILVA GONCALVES DE MORAES";"PSD";4;6;3;"N";1;358
"AC";"PORTO ACRE";13;"ARLE DE SOUZA RODRIGUES";"REPUBLICANOS";2;4;3;"N";1;222
"AC";"SANTA ROSA DO PURUS";13;"JOÃO JULIO BRANDÃO FILHO";"PSD";2;4;3;"N";1;165
"AC";"MANOEL URBANO";13;"ALBERTO FERREIRA BEZERRA";"MDB";2;4;3;"N";1;255
"AC";"MÂNCIO LIMA";13;"OZANIR OLIVEIRA DIAS";"MDB";2;8;3;"N";1;446
"AC";"RIO BRANCO";13;"SIRLENE OLIVEIRA DA CUNHA";"PSD";4;8;1;"N";1;1789
"AC";"RIO BRANCO";13;"EMERSON OLIVEIRA JARUDE THOMAZ";"MDB";2;8;3;"N";1;2765
"AC";"PLÁCIDO DE CASTRO";13;"EDILSON CARLOS BARBOSA BRAGA";"MDB";2;8;3;"N";1;374
"AC";"TARAUACÁ";13;"MANOEL JERONIMO BENTO DA SILVA";"MDB";2;6;3;"N";1;272
"AC";"BUJARI";13;"ADAILDO DOS SANTOS OLIVEIRA";"PROS";2;4;3;"N";1;246
"AC";"MANOEL URBANO";13;"CLEYTON NOGUEIRA DE ALMEIDA";"DEM";2;8;3;"N";1;194
"AC";"PORTO ACRE";13;"LEANDRO BEZERRA FEITOSA";"PSD";2;6;3;"N";1;253
"AC";"MANOEL URBANO";13;"FRANCISCO CHARLITON BRANDAO DE SOUZA";"PSD";2;6;3;"N";1;434
"AC";"SENA MADUREIRA";13;"IVONEIDE BERNARDINO DE FARIAS";"MDB";4;8;3;"N";1;664
"AC";"SENA MADUREIRA";13;"ALIPIO GOMES DE BRITO";"MDB";2;8;3;"N";1;786
"AC";"SENA MADUREIRA";13;"RAIMUNDO VIEIRA DOS ANJOS";"MDB";2;6;3;"N";1;741
"AC";"SENA MADUREIRA";13;"ANTONIO CARLOS SOUZA DA SILVA";"MDB";2;8;3;"N";1;748
"AC";"ASSIS BRASIL";13;"FRANCISCO FURTADO DE MOURA";"PC do B";2;4;3;"N";1;207
"AC";"MÂNCIO LIMA";13;"JEAN DE ALMEIDA FIGUEIREDO";"PT";2;8;1;"N";1;419
"AC";"MÂNCIO LIMA";13;"JOEL FERREIRA LIMA";"PT";2;6;5;"N";1;413
"AC";"PORTO WALTER";13;"JOSE DE SOUZA COELHO";"MDB";2;3;3;"N";1;271
"AC";"PORTO WALTER";13;"ROBSON RODRIGUES DE OLIVEIRA LIMA";"MDB";2;6;3;"N";1;375
"AC";"PORTO WALTER";13;"JOSE MARIA PEREIRA DOS SANTOS";"PSD";2;3;3;"N";1;242
"AC";"MARECHAL THAUMATURGO";13;"DAVI WANE ASHANINKA";"PSD";2;3;5;"N";1;343
"AC";"MÂNCIO LIMA";13;"VLADIMIR VASCONCELOS DA COSTA";"PSD";2;6;3;"N";1;237
"AC";"CRUZEIRO DO SUL";13;"MANOEL BENICIO OLIVEIRA DE MIRANDA";"DEM";2;4;3;"N";1;825
"AC";"CRUZEIRO DO SUL";13;"CRISTIANO FREIRE RODRIGUES";"MDB";2;7;1;"N";1;1048
"AC";"CRUZEIRO DO SUL";13;"ANTONIO COSMO BRAGA DA COSTA";"MDB";2;6;1;"N";1;973
"AC";"MÂNCIO LIMA";13;"JOSE AMARISIO DA SILVA";"REPUBLICANOS";2;2;3;"N";1;264
"AC";"SANTA ROSA DO PURUS";13;"MARIA MEIRE DE LIMA DE ARAÚJO";"MDB";4;8;3;"N";1;108
"AC";"MANOEL URBANO";13;"CÉLIO ROBERTO VAZ ALVES";"PT";2;8;3;"N";1;265
"AC";"SENA MADUREIRA";13;"ELVIS DANY CUNHA DA SILVA";"DEM";2;8;3;"N";1;1024
"AC";"TARAUACÁ";13;"PEDRO CLAVER DE SOUZA FREIRE";"PSD";2;6;3;"N";1;828
"AC";"BRASILÉIA";13;"NEIVA APARECIDA BADOTTI";"PSB";4;6;3;"N";1;201
"AC";"RIO BRANCO";13;"SAMIR FIGUEIREDO BESTENE";"PP";2;8;1;"N";1;3403
"AC";"RIO BRANCO";13;"MICHELLE DE OLIVEIRA MELO WICIUK";"PDT";4;8;3;"N";1;3576
"AC";"ACRELÂNDIA";13;"GILBERTO FRANSA DA SILVA";"PSDB";2;6;2;"N";1;255
"AC";"SENADOR GUIOMARD";13;"JOÃO FABRÍCIO LIMA DE ALMEIDA";"SOLIDARIEDADE";2;8;3;"N";1;388
"AC";"SENADOR GUIOMARD";13;"REGINALDA RODRIGUES DA SILVA";"SOLIDARIEDADE";4;8;3;"N";1;269
"AC";"ACRELÂNDIA";13;"SIONAYTON RODRIGUES STAUT";"PP";2;6;3;"N";1;473
"AC";"SANTA ROSA DO PURUS";13;"MARLENE OLIVEIRA RODRIGUES KAXINAWÁ";"DEM";4;8;5;"N";1;92
"AC";"BRASILÉIA";13;"ELENILSON DA SILVA SANTOS";"PT";2;8;2;"N";1;418
"AC";"BRASILÉIA";13;"LESSANDRO JORGE ANDRE LOPES";"PT";2;6;3;"N";1;352
"AC";"BRASILÉIA";13;"ROGERIO PONTES DE SOUSA";"PROS";2;6;3;"N";1;493
"AC";"RODRIGUES ALVES";13;"ANTONIO LEANDRO DE ALMEIDA NETO";"PSD";2;8;3;"N";1;412
"AC";"RODRIGUES ALVES";13;"ANTONIO MARCOS MOURA DE QUEIROZ";"PSD";2;6;1;"N";1;323
"AC";"ASSIS BRASIL";13;"JURACI PACHECO DE MORAES";"PT";2;8;1;"N";1;188
"AC";"CRUZEIRO DO SUL";13;"CLERTON GASPAR DE SOUZA";"PSD";2;6;3;"N";1;752
"AC";"FEIJÓ";13;"CHARLES GUIMARAES DOS SANTOS";"PP";2;6;3;"N";1;459
"AC";"FEIJÓ";13;"AURELINDA DA SILVA PORTELA";"PP";4;6;3;"N";1;460
"AC";"FEIJÓ";13;"TEREZINHA DOS SANTOS MOREIRA";"PP";4;6;1;"N";1;514
"AC";"EPITACIOLÂNDIA";13;"RUBENSLEI RODRIGUES DE LIMA";"PSD";2;7;3;"N";1;224
"AC";"FEIJÓ";13;"VANDA MARIA DO NASCIMENTO DE AGUIAR";"PSDB";4;8;3;"N";1;430
"AC";"PORTO WALTER";13;"JOSE FRANCISCO DA CRUZ DIAS DE OLIVEIRA";"PROS";2;8;3;"N";1;200
"AC";"RODRIGUES ALVES";13;"TIAGO DE MATOS CORREA";"PROS";2;6;3;"N";1;378
"AC";"RODRIGUES ALVES";13;"FRANCISCO MARTINS DA SILVA";"PROS";2;4;3;"N";1;534
"AC";"PORTO WALTER";13;"JOSÉ BELIARTE SOUZA CORREIA";"PC do B";2;5;1;"N";1;252
"AC";"EPITACIOLÂNDIA";13;"LUCIMAR MONTEIRO DE SOUZA";"PP";4;6;2;"N";1;473
"AC";"SANTA ROSA DO PURUS";13;"AURICÉLIO LIMA DE OLIVEIRA";"PP";2;8;3;"N";1;115
"AC";"SENA MADUREIRA";13;"FRANCISCO MOREIRA DA SILVA";"PP";2;6;3;"N";1;807
"AC";"SENA MADUREIRA";13;"SIDINEIS SILVA DE ARAUJO";"PP";2;6;3;"N";1;665
"AC";"SENA MADUREIRA";13;"CHARMES DA SILVA DINIZ";"PP";2;8;1;"N";1;772
"AC";"BUJARI";13;"JAMES MOURÃO DO NASCIMENTO";"PP";2;6;2;"N";1;254
"AC";"RIO BRANCO";13;"ANTONIO LIRA DE MORAIS";"PSB";2;8;3;"N";1;2933
"AC";"FEIJÓ";13;"TIAGO AGUIAR DA SILVA";"PDT";2;8;3;"N";1;313
"AC";"PLÁCIDO DE CASTRO";13;"MARIA SOCORRO SOARES DE OLIVEIRA";"PP";4;8;3;"N";1;304
"AC";"SENADOR GUIOMARD";13;"ELVYS LENON NASCIMENTO ARAÚJO";"PP";2;6;3;"N";1;536
"AC";"SENADOR GUIOMARD";13;"ALEXANDRA PEREIRA DE MESQUITA CARNEIRO";"PP";4;8;3;"N";1;441
"AC";"SENADOR GUIOMARD";13;"MAGILDO DE SOUZA LIMA";"PP";2;3;3;"N";1;388
"AC";"ACRELÂNDIA";13;"UAGLA BELMONT ALVES";"SOLIDARIEDADE";2;6;3;"N";1;274
"AC";"PLÁCIDO DE CASTRO";13;"CLEYDIANE DE OLIVEIRA SILVA";"PSB";4;8;3;"N";1;311
"AC";"PLÁCIDO DE CASTRO";13;"FRANCIMAR RODRIGUES DA SILVA";"PSD";2;8;3;"N";1;483
"AC";"SENA MADUREIRA";13;"DENIS DOS SANTOS ARAÚJO";"PSDB";2;8;1;"N";1;528
"AC";"SENA MADUREIRA";13;"JOSÉ ROSENDO COSTA DE LEMOS";"PTB";2;4;2;"S";1;544
"AC";"RODRIGUES ALVES";13;"MARIA TEREZINHA FERNANDES DE LIMA";"PC do B";4;8;3;"N";1;349
"AC";"SANTA ROSA DO PURUS";13;"ENIO ORATSO MADJA";"PSDB";2;4;5;"S";1;126
"AC";"EPITACIOLÂNDIA";13;"MARCO RIBEIRO";"PSDB";2;8;3;"N";1;249
"AC";"BRASILÉIA";13;"ARLETE FERREIRA DO AMARAL";"SOLIDARIEDADE";4;6;1;"N";1;240
"AC";"FEIJÓ";13;"ANTONIO RONALDO NASCIMENTO DOS REIS";"PSD";2;7;3;"S";1;363
"AC";"RIO BRANCO";13;"ISMAEL DOS SANTOS MACHADO";"PSDB";2;8;3;"N";1;1928
"AC";"SENADOR GUIOMARD";13;"CLEILTON NOGUEIRA CAVALCANTE";"MDB";2;8;3;"S";1;337
"AC";"RODRIGUES ALVES";13;"MARIA LUCIENE DE SOUZA MESQUITA";"MDB";4;8;3;"N";1;399
"AC";"RODRIGUES ALVES";13;"PAULA SUZANE PAIXÃO OLIVEIRA";"MDB";4;8;3;"N";1;476
"AC";"SENADOR GUIOMARD";13;"JAMIS VINICIUS CUNHA QUEIROZ";"PSD";2;8;3;"S";1;335
"AC";"SENADOR GUIOMARD";13;"RAIMUNDO NONATO CHAVES MAIA";"PSDB";2;8;3;"N";1;346
"AC";"ACRELÂNDIA";13;"IVANIR VASCONCELOS DE SOUZA";"MDB";2;8;3;"S";1;335
"AC";"TARAUACÁ";13;"FRANCISCO FEITOZA BATISTA";"PDT";2;4;1;"N";1;615
"AC";"TARAUACÁ";13;"NERIMAR CORNELIA DE JESUS LIMA";"PDT";4;8;3;"S";1;385
"AC";"RODRIGUES ALVES";13;"MAGILA DA SILVA DAMASIO";"PDT";4;6;3;"N";1;399
"AC";"PORTO ACRE";13;"RAIMUNDO ANTONIO BARROS DE FREITAS E FARIAS";"PP";2;8;3;"N";1;376
"AC";"PORTO ACRE";13;"MAXIMO ANTONIO DE SOUZA COSTA";"PP";2;8;1;"S";1;481
"AC";"XAPURI";13;"CLEMILTON ALMEIDA DE LIMA";"DEM";2;8;3;"S";1;409
"AC";"XAPURI";13;"JENARIO FERREIRA ROQUE";"DEM";2;8;3;"N";1;332
"AC";"MANOEL URBANO";13;"RAIMUNDO CIPRIANO DE OLIVEIRA";"PP";2;8;3;"S";1;246
"AC";"TARAUACÁ";13;"MARIA GLECIANE SILVA DE LIMA";"DEM";4;7;3;"N";1;488
"AC";"MÂNCIO LIMA";13;"REZIANE DOS SANTOS ALMEIDA BARROS";"PP";4;8;3;"S";1;309
"AC";"CRUZEIRO DO SUL";13;"MARCIO NASCIMENTO DE SOUZA";"PSDB";2;6;3;"N";1;937
"AC";"XAPURI";13;"ELIAS DO NASCIMENTO MELO";"PSD";2;3;3;"N";1;258
"AC";"CRUZEIRO DO SUL";13;"ANTONIO FRANCISVALDO CASTELO NOBRE";"PROS";2;6;3;"N";1;978
"AC";"CRUZEIRO DO SUL";13;"FRANCINEY FREITAS DE SOUZA";"PP";2;5;1;"S";1;1031
"AC";"CRUZEIRO DO SUL";13;"JOÃO KELÉU DE SOUZA FERNANDES";"PP";2;4;3;"S";1;979
"AC";"ASSIS BRASIL";13;"MANOEL AROLDO BATISTA DOS SANTOS";"MDB";2;6;1;"N";1;86
"AC";"ASSIS BRASIL";13;"WENDELL GONÇALVES MARQUES";"PSDB";2;6;3;"S";1;251
"AC";"CAPIXABA";13;"AMILTON CUNHA DA COSTA";"DEM";2;8;3;"N";1;249
"AC";"CAPIXABA";13;"CLENILDA DOS SANTOS PEREIRA";"DEM";4;8;3;"N";1;258
"AC";"XAPURI";13;"ALARICE BOTELHO NUNES";"PT";4;8;3;"N";1;282
"AC";"XAPURI";13;"JOSÉ MARIA DA SILVA MIRANDA";"PT";2;8;3;"S";1;246
"AC";"CRUZEIRO DO SUL";13;"GILMAR GILES DE OLIVEIRA";"PDT";2;8;3;"N";1;675
"AC";"FEIJÓ";13;"CLEONÍZIA MOURA DO NASCIMENTO";"SOLIDARIEDADE";4;8;3;"N";1;249
"AC";"PLÁCIDO DE CASTRO";13;"ROGERIO RIBEIRO DO NASCIMENTO";"PT";2;8;2;"S";1;626
"AC";"PLÁCIDO DE CASTRO";13;"DARCI GUTIERREZ LIMA";"DEM";2;6;3;"N";1;329
"AC";"PLÁCIDO DE CASTRO";13;"MARCELO AUGUSTO DE OLIVEIRA MEIRELES";"PSDB";2;8;3;"S";1;486
"AC";"MARECHAL THAUMATURGO";13;"FRANCISCO RIBEIRO DA SILVA FILHO";"PP";2;8;3;"S";1;232
